date	label	floor	directed	ondemand
2026-08-23	baseline (b029e29, pre-cleanup)	8569	22514	50779
2026-08-23	after doc deletion pass	8509	22454	44268
2026-08-23	CLAUDE.md data-model pilot	7339	21284	43098
2026-08-23	CLAUDE.md full pass	5402	19459	41273
2026-08-24	TODO.md split	5498	12480	34294
2026-08-24	status check	5429	12411	41174
2026-08-24	final: prose pass 2	5429	12411	41174
2026-08-25	unlabeled	5682	12664	41681
2026-08-25	unlabeled	5697	12679	32194
2026-08-25	unlabeled	5657	12639	32154
2026-08-26	unlabeled	5630	12337	31852
2026-08-26	unlabeled	5630	13208	32743
2026-08-26	unlabeled	5630	13733	33376
2026-08-26	unlabeled	5677	8030	33423
2026-08-26	unlabeled	5677	8030	33520
